snt_id	term	difficulty	term_rank_snt	run_id	manual
T12.3_2044597308_6	result	1	4	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_2044597308_6	FPs	2	5	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_2044597308_7	Pulmonary Nodules	2	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_2044597308_7	PET/CT Images	2	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_2044597308_7	Detection	1	3	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_2044597308_7	Diagnosis	1	4	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_2044597308_7	Method	0	5	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_1968731708_1	Computed Tomography (CT)	2	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_1968731708_1	Positron Emission Tomography (PET)	2	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_1968731708_1	Hybrid Tumor Detection	1	3	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_1968731708_1	Diagnosis	0	4	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_1968731708_1	Study	0	5	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_1968731708_3	Active contour filter	2	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_1968731708_3	Lung tumor	1	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_1968731708_3	CAD scheme	2	3	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_1968731708_3	Detection method	1	4	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_1968731708_3	Nodules	1	5	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_1968731708_6	Iteratively	2	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_1968731708_6	Nodes	1	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_1968731708_6	Enclose	1	3	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_1968731708_6	Kernel	1	4	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_1968731708_6	Curve	0	5	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_1968731708_7	Deformable kernel	2	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_1968731708_7	Maximum pixel value	1	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_1968731708_7	Pixel value	1	3	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_1968731708_7	Filter kernel	1	4	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_1968731708_7	ACF	0	5	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_1968731708_8	Binarized	0	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_1968731708_8	PET	1	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_1968731708_8	Uptake	1	3	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_1968731708_8	Regions	0	4	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_1968731708_8	Subsequently	0	5	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_1968731708_9	False Positive Reduction	2	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_1968731708_9	Characteristic Features	1	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_1968731708_9	Support Vector Machines	2	3	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_1968731708_9	Results	1	4	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_1968731708_9	Integration	1	5	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_1968731708_10	PET/CT	2	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_1968731708_10	Diagnosis	1	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_1968731708_10	Experiment	0	3	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_1968731708_10	Evaluate	0	4	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_1968731708_10	Images	0	5	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_1968731708_12	PET/CT	2	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_1968731708_12	Lung tumors	1	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_1968731708_12	Detection	0	3	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_1968731708_12	Results	0	4	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_1968731708_12	Method	0	5	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.1_2960423448_2	Machine Learning	2	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.1_2960423448_2	Data Mining	1	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.1_2960423448_2	Credit Card Fraud	2	3	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.1_2960423448_2	Detection	0	4	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.1_2960423448_2	Algorithms	1	5	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.1_2960423448_3	Imbalanced class sizes	2	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.1_2960423448_3	Variant fraudulent behavior	2	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.1_2960423448_3	Publicly available data sets	1	3	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.1_2960423448_3	Credit card fraud	0	4	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.1_2960423448_4	Random Forest	2	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.1_2960423448_4	Support Vector Machine	2	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.1_2960423448_4	Logistic Regression	2	3	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.1_2960423448_4	Credit Card Transactions	1	4	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.1_2960423448_4	Machine Learning Algorithms	1	5	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.1_2960423448_5	Imbalanced class sizes	2	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.1_2960423448_5	SMOTE sampling method	2	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.1_2960423448_5	Credit card fraud	1	3	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.1_2960423448_5	Mitigate	0	4	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.1_2960423448_6	Incremental Learning	2	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.1_2960423448_6	Machine Learning	1	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.1_2960423448_6	Fraud Patterns	2	3	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.1_2960423448_6	Experiments	0	4	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.1_2960423448_6	Credit Card Fraud	2	5	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.1_2960423448_7	Precision	2	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.1_2960423448_7	Recall	2	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.1_2960423448_7	Credit Card	1	3	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.1_2960423448_7	Fraud	1	4	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.1_2960423448_7	Techniques	0	5	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2010710834_1	Identity Privacy	2	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2010710834_1	Guessing Attack	2	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2010710834_1	Chen et al.	1	3	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2010710834_1	Protect	0	4	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2010710834_1	Users	0	5	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2010710834_2	Authentication Scheme	2	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2010710834_2	Telecare Medical Information Systems	1	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2010710834_2	Dynamic ID	1	3	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2010710834_2	Efficient	0	4	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2010710834_2	Guessing Attack	2	5	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2010710834_3	Chen et al.	2	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2010710834_3	Scheme	1	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2010710834_3	Guessing attack	1	3	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2010710834_3	Weaknesses	0	4	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2010710834_3	However	0	5	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2010710834_4	Linkability attack	2	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2010710834_4	Off-line identity guessing attack	2	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2010710834_4	Chen et al.’s scheme	1	3	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2010710834_4	User	0	4	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2010710834_4	Attacker	0	5	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2010710834_5	Off-line password guessing attack	2	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2010710834_5	On-line password guessing attack	2	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2010710834_5	Chen et al.’s scheme	1	3	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2010710834_5	Smart card	0	4	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2010710834_5	Undetectable	1	5	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2087734433_1	Encryption	2	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2087734433_1	Key recovery	1	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2087734433_1	Algorithm	0	3	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2087734433_1	Transformation	0	4	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2087734433_1	Decrypt	0	5	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2087734433_2	Encryption	2	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2087734433_2	Safeguards	1	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2087734433_2	Inadvertent	0	3	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2087734433_2	Malicious Intent	2	4	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2087734433_2	Network Communications	1	5	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2087734433_3	Key Recovery	2	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2087734433_3	Practical Model	1	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2087734433_3	Refined	0	3	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2087734433_3	Compliance	0	4	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2087734433_3	Cryptographic	1	5	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2087734433_4	Guessing attack	2	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2087734433_4	Key recovery scheme	1	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2087734433_4	Resistant	0	3	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2087734433_4	Online	0	4	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2087734433_4	Novel	0	5	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2087734433_5	Key Recovery Schemes	2	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2087734433_5	Online Guessing Attack	2	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2087734433_5	Detect	1	3	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2087734433_5	Prevent	1	4	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2087734433_5	Today	0	5	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2087734433_6	Denial of Service	2	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2087734433_6	Key Recovery	1	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2087734433_6	Legitimate Users	1	3	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2087734433_6	Security Measure	1	4	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2087734433_6	Guessing Attack	0	5	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2087734433_7	Key recovery server	2	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2087734433_7	Change password	1	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2087734433_7	Guessing attack	2	3	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2087734433_7	Inconvenience	0	4	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2087734433_7	Attack	1	5	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2087734433_8	Captcha	2	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2087734433_8	Key Recovery	1	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2087734433_8	Guessing Attack	2	3	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2087734433_8	Security Solution	1	4	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T16.2_2087734433_8	Online Guessing Attack	2	5	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T17.4_2072049844_1	Smart cards	2	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T17.4_2072049844_1	Applications	1	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T17.4_2072049844_1	Implementation	2	3	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T17.4_2072049844_1	Literature	1	4	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T17.4_2072049844_1	Key generation	2	5	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T17.4_2072049844_2	RSA	2	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T17.4_2072049844_2	Smart cards	1	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T17.4_2072049844_2	Cryptography	0	3	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T17.4_2072049844_2	Tamper resistant	1	4	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T17.4_2072049844_2	Algorithm	0	5	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T17.4_2072049844_4	RSA	2	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T17.4_2072049844_4	Cryptosystem	1	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T17.4_2072049844_4	Key Generation	2	3	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T17.4_2072049844_4	On-Card Implementation	1	4	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T17.4_2072049844_4	Digital Signatures	1	5	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T17.4_2072049844_5	Algorithm	1	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T17.4_2072049844_5	Efficient	2	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T17.4_2072049844_5	Simple	1	3	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T17.4_2072049844_5	Key Generation	2	4	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T17.4_2072049844_5	Not Very Efficient	2	5	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T17.4_2072049844_6	Crypto-coprocessor	2	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T17.4_2072049844_6	Smart cards	1	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T17.4_2072049844_6	Algorithms	1	3	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T17.4_2072049844_6	Implementations	1	4	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T17.4_2072049844_6	Key generation	0	5	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T18.1_2088429605_1	Backscatter	2	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T18.1_2088429605_1	Radio Frequency Identification	1	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T18.1_2088429605_1	Passive	0	3	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T18.1_2088429605_1	Incident	0	5	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T18.1_2088429605_2	Monostatic	2	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T18.1_2088429605_2	Backscatter	2	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T18.1_2088429605_2	Transmit Diversity	1	3	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T18.1_2088429605_2	RF Tag	1	4	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T18.1_2088429605_2	Incident	0	5	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T18.1_2088429605_3	Backscatter	2	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T18.1_2088429605_3	Transmit Diversity	1	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T18.1_2088429605_3	Phase Conjugation	1	3	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T18.1_2088429605_3	Forward Link	0	4	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T18.1_2088429605_3	Reader Antenna	0	5	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.1_2114867054_1	Wireless Mesh Networks (WMNs)	2	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.1_2114867054_1	Internet connectivity	1	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.1_2114867054_1	Hard-to-reach areas	1	3	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.1_2114867054_1	Big cities	0	4	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.1_2114867054_1	Traffic optimization	0	5	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.1_2114867054_2	Bandwidth	2	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.1_2114867054_2	Wired networks	1	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.1_2114867054_2	Network	0	3	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.1_2114867054_2	Traffic optimization	2	4	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.1_2114867054_2	Nodes	1	5	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.1_2114867054_3	Communication Resources	2	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.1_2114867054_3	Efficient Usage	1	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.1_2114867054_3	Wireless Mesh Networks	2	3	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.1_2114867054_3	Crucial Importance	1	4	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.1_2114867054_3	Available	0	5	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.1_2114867054_4	Peer-to-peer	2	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.1_2114867054_4	Internet	1	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.1_2114867054_4	Traffic	1	3	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.1_2114867054_4	Optimization	2	4	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.1_2114867054_4	Protocol suite	2	5	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.1_2114867054_5	Overlay network	2	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.1_2114867054_5	Topology	1	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.1_2114867054_5	Infrastructure	1	3	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.1_2114867054_5	Utilization	1	4	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.1_2114867054_5	Physical communication	2	5	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.1_2114867054_7	P2P	2	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.1_2114867054_7	Bittorrent	2	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.1_2114867054_7	WMNs	1	3	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.1_2114867054_7	ALTO	2	4	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.1_2114867054_7	IETF	1	5	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.1_2114867054_8	Bittorrent	2	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.1_2114867054_8	Traffic	1	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.1_2114867054_8	Optimize	1	3	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.1_2114867054_8	Modification	1	4	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.1_2114867054_8	Application	0	5	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.1_2114867054_9	WMN	2	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.1_2114867054_9	Traffic	1	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.1_2114867054_9	Download	0	3	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.1_2114867054_9	Reduction	0	4	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.1_2114867054_9	Borders	0	5	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.2_2511808037_1	Software testing	0	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.2_2511808037_1	Software development	0	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.2_2511808037_1	Genetic algorithm	2	3	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.2_2511808037_1	Processes	0	4	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.2_2511808037_1	Inevitable	1	5	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.2_2511808037_4	Genetic Algorithm	2	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.2_2511808037_4	Practical Testing	1	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.2_2511808037_4	Body of Work	1	3	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.2_2511808037_4	High Time	0	4	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.2_2511808037_4	Faring	0	5	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.2_2511808037_6	Genetic Algorithm	2	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.2_2511808037_6	Software Test Data Generation	1	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.2_2511808037_6	Reviewed Works	0	3	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.2_2511808037_7	Genetic algorithm	2	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.2_2511808037_7	Heuristic	1	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.2_2511808037_7	Optimization	1	3	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.2_2511808037_7	Search problem	1	4	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.2_2511808037_7	Natural selection	2	5	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.2_2511808037_8	Genetic Algorithm	2	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T19.2_2511808037_8	Software Testing	1	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
