Fuente;N_charac;N_w;N_dcw;N_cw;N_lfw;N_rw;N_s;N_cs;LDI;ILFW;LC;SSR;ASL;CS;SCI;ARI;PM;MTLD;BLOQUE;CCONJ;SCONJ;PROPN;PRON;NOUN;VERB;ADP;AUX;DET;ADV;ADJ
ATM - Tramites - TEXTO 0008 MOVILIDAD SEGURA.txt;130;23;21;12;3;11;1;0;21;25;23;217,6939565;23;0;11,5;16,69173913;3;14,44029851;ATM;1;0;1;2;6;2;5;0;3;0;3
ATM - Tramites - TEXTO 0009 LEY DE TRANSITO.txt;231;39;32;21;5;22;1;1;32;23,80952381;27,9047619;271,9202308;39;1;20;25,96769231;3;14,29868933;ATM;2;0;4;0;7;3;8;2;6;2;5
ATM - Tramites - TEXTO 0009 MOVILIDAD SEGURA.txt;216;43;35;22;8;25;2;1;17,5;36,36363636;26,93181818;249,5004767;21,5;0,5;11;12,97953488;3;13,92505872;ATM;2;4;2;3;9;4;7;3;4;0;4
ATM - Tramites - TEXTO 0010 LEY DE TRANSITO.txt;284;49;37;29;4;24;1;1;37;13,79310345;25,39655172;263,3552857;49;1;25;30,36877551;3;15,37341184;ATM;3;0;14;0;9;1;12;1;5;0;4
ATM - Tramites - TEXTO 0010 MOVILIDAD SEGURA.txt;198;36;30;20;3;16;1;0;30;15;22,5;227,3906667;36;0;18;22,475;2;14,53045344;ATM;1;0;2;1;11;2;9;0;4;1;5
ATM - Tramites - TEXTO 0011 LEY DE TRANSITO.txt;174;31;26;16;5;13;1;1;26;31,25;28,625;211,0209355;31;1;16;20,50677419;1;16,44371728;ATM;2;0;3;0;6;0;8;2;4;1;5
ATM - Tramites - TEXTO 0011 MOVILIDAD SEGURA.txt;127;25;24;13;5;11;1;1;24;38,46153846;31,23076923;208,217;25;1;13;14,9968;3;12,93363168;ATM;1;0;1;2;5;3;5;2;3;1;2
ATM - Tramites - TEXTO 0012 LEY DE TRANSITO.txt;207;35;32;19;8;19;1;1;32;42,10526316;37,05263158;258,435;35;1;18;23,92628571;4;14,17073171;ATM;2;1;3;4;6;3;5;2;3;1;5
ATM - Tramites - TEXTO 0012 MOVILIDAD SEGURA.txt;144;24;23;16;2;13;1;1;23;12,5;17,75;240,341;24;1;12,5;18,83;3;13,73832767;ATM;1;1;1;1;6;3;3;2;3;0;3
ATM - Tramites - TEXTO 0013 LEY DE TRANSITO.txt;344;56;47;36;9;32;1;0;47;25;36;301,704;56;0;28;35,50285714;8;15,51169806;ATM;4;0;9;2;15;2;10;1;3;1;9
ATM - Tramites - TEXTO 0013 MOVILIDAD SEGURA.txt;126;18;18;14;6;11;1;1;18;42,85714286;30,42857143;253,7286667;18;1;9,5;20,54;1;13,89831461;ATM;0;0;0;1;3;2;2;1;2;0;7
ATM - Tramites - TEXTO 0014 LEY DE TRANSITO.txt;132;22;19;13;5;13;1;0;19;38,46153846;28,73076923;253,4616364;22;0;11;17,83;3;15,12915058;ATM;3;0;4;1;6;1;3;0;2;0;2
ATM - Tramites - TEXTO 0014 MOVILIDAD SEGURA.txt;192;37;32;18;3;18;1;1;32;16,66666667;24,33333333;242,9492162;37;1;19;21,51108108;3;13,87168221;ATM;1;0;1;3;9;3;8;2;7;0;3
ATM - Tramites - TEXTO 0015 LEY DE TRANSITO.txt;406;67;52;40;9;37;1;1;52;22,5;37,25;313,0358358;67;1;34;40,61119403;8;14,40625;ATM;4;2;13;2;15;4;9;1;10;0;7
ATM - Tramites - TEXTO 0015 MOVILIDAD SEGURA.txt;219;43;38;23;3;17;2;1;19;13,04347826;16,02173913;187,7702442;21,5;0,5;11;13,30813953;6;14,02621585;ATM;2;0;1;7;6;9;4;3;5;3;3
ATM - Tramites - TEXTO 0016 LEY DE TRANSITO.txt;397;64;46;33;7;35;1;0;46;21,21212121;33,60606061;306,429125;64;0;32;39,78671875;5;14,32893927;ATM;7;0;6;0;17;2;13;0;10;1;8
ATM - Tramites - TEXTO 0016 TRAMITE EN LINEA.txt;221;38;29;22;7;19;2;1;14,5;31,81818182;23,15909091;218,471;19;0,5;9,75;15,46236842;3;14,17715836;ATM;1;0;2;3;12;2;8;1;4;0;5
ATM - Tramites - TEXTO 0017 LEY DE TRANSITO.txt;252;42;32;23;6;16;1;0;32;26,08695652;29,04347826;215,978;42;0;21;27,83;7;13,73675214;ATM;3;0;3;0;15;2;10;0;6;0;3
ATM - Tramites - TEXTO 0017 LEY DE TRANSITO_.txt;203;33;27;18;6;17;1;0;27;33,33333333;30,16666667;246,0242727;33;0;16,5;24,04363636;2;14,25317797;ATM;2;0;3;0;8;3;7;0;5;1;4
ATM - Tramites - TEXTO 0018 INFRACCIONES - DELITOS DE TRANSITO.txt;276;50;41;26;11;24;1;0;41;42,30769231;41,65384615;261,714;50;0;25;29,5692;3;13,92572767;ATM;4;1;1;3;14;5;10;1;5;1;5
ATM - Tramites - TEXTO 0018 LEY DE TRANSITO.txt;351;62;42;33;3;33;1;0;42;9,090909091;25,54545455;298,3612258;62;0;31;36,23467742;8;14,46428571;ATM;6;0;9;0;17;2;13;1;10;0;4
ATM - Tramites - TEXTO 0019 INFRACCIONES - DELITOS DE TRANSITO.txt;254;47;36;27;7;21;1;1;36;25,92592593;30,96296296;245,8740638;47;1;24;27,52404255;3;14,32870019;ATM;1;0;1;1;15;5;13;1;5;0;5
ATM - Tramites - TEXTO 0019 LEY DE TRANSITO.txt;295;60;40;30;9;30;1;0;40;30;35;284,44;60;0;30;31,7275;5;12,57040974;ATM;2;1;3;1;15;2;13;1;14;1;7
ATM - Tramites - TEXTO 0020 INFRACCIONES - DELITOS DE TRANSITO.txt;185;33;29;18;5;19;1;0;29;27,77777778;28,38888889;266,1333636;33;0;16,5;21,47454545;4;14,66715205;ATM;2;0;1;2;10;1;7;1;4;1;4
ATM - Tramites - TEXTO 0020 LEY DE TRANSITO.txt;170;38;30;18;4;14;1;0;30;22,22222222;26,11111111;205,3841053;38;0;19;18,64105263;4;13,79661592;ATM;2;1;2;0;11;2;11;0;4;2;3
ATM - Tramites - TEXTO 0021 INFRACCIONES - DELITOS DE TRANSITO.txt;197;33;27;18;3;14;1;1;27;16,66666667;21,83333333;215,8606364;33;1;17;23,18727273;3;13,31589381;ATM;2;0;1;3;8;4;5;1;5;1;3
ATM - Tramites - TEXTO 0021 LEY DE TRANSITO.txt;180;33;29;17;6;15;1;0;29;35,29411765;32,14705882;225,9151818;33;0;16,5;20,76090909;5;13,37282099;ATM;3;0;2;3;8;2;7;0;3;1;4
ATM - Tramites - TEXTO 0022 INFRACCIONES - DELITOS DE TRANSITO.txt;242;44;33;24;5;20;2;1;16,5;20,83333333;18,66666667;208,2161818;22;0,5;11,25;15,475;2;14,13220872;ATM;0;0;1;2;13;4;11;3;6;1;3
ATM - Tramites - TEXTO 0022 LEY DE TRANSITO.txt;152;25;21;14;5;11;1;0;21;35,71428571;28,35714286;208,217;25;0;12,5;19,7068;2;14,27470849;ATM;1;1;3;1;8;2;6;0;2;0;1
ATM - Tramites - TEXTO 0023 INFRACCIONES - DELITOS DE TRANSITO.txt;136;26;21;13;4;10;1;0;21;30,76923077;25,88461538;191,4493846;26;0;13;16,20692308;1;14,06128924;ATM;0;0;1;2;7;2;6;0;5;0;3
ATM - Tramites - TEXTO 0023 LEY DE TRANSITO.txt;286;48;37;27;6;23;1;1;37;22,22222222;29,61111111;258,2195;48;1;24,5;30,63375;6;14,90909091;ATM;2;0;11;3;8;3;10;1;6;0;4
ATM - Tramites - TEXTO 0024 INFRACCIONES - DELITOS DE TRANSITO.txt;202;36;31;20;7;21;1;0;31;35;33;273,474;36;0;18;22,99833333;8;12,7390952;ATM;2;0;1;0;13;1;9;0;5;0;5
ATM - Tramites - TEXTO 0024 LEY DE TRANSITO.txt;266;44;35;25;6;24;1;0;35;24;29,5;273,7778182;44;0;22;29,04409091;2;14,47361662;ATM;5;0;4;0;13;2;9;0;5;0;6
ATM - Tramites - TEXTO 0025 INFRACCIONES - DELITOS DE TRANSITO.txt;190;32;26;17;6;18;1;0;26;35,29411765;30,64705882;260,1255;32;0;16;22,535625;2;14,65251799;ATM;2;0;1;1;10;3;7;0;5;0;3
ATM - Tramites - TEXTO 0025 LEY DE TRANSITO.txt;208;35;29;21;4;19;1;1;29;19,04761905;24,02380952;258,435;35;1;18;24,06085714;1;14,10498026;ATM;1;0;2;0;11;3;9;1;4;0;4
ATM - Tramites - TEXTO 0026 INFRACCIONES - DELITOS DE TRANSITO.txt;177;31;25;16;11;19;1;0;25;68,75;46,875;275,2402903;31;0;15,5;20,96258065;3;14,41042709;ATM;2;0;1;1;10;1;7;0;5;0;4
ATM - Tramites - TEXTO 0026 LEY DE TRANSITO.txt;236;40;33;23;8;24;1;1;33;34,7826087;33,89130435;285,44;40;1;20,5;26,359;2;12,36398012;ATM;2;1;3;2;10;3;6;2;4;2;5
ATM - Tramites - TEXTO 0027 INFRACCIONES - DELITOS DE TRANSITO.txt;214;32;29;19;5;17;1;0;29;26,31578947;27,65789474;249,75675;32;0;16;26,068125;4;16,91652566;ATM;1;0;1;1;10;1;7;0;2;1;8
ATM - Tramites - TEXTO 0027 LEY DE TRANSITO.txt;123;18;15;11;5;12;1;0;15;45,45454545;30,22727273;272,162;18;0;9;19,755;1;14,79057018;ATM;1;1;2;0;5;1;3;1;2;0;2
ATM - Tramites - TEXTO 0028 INFRACCIONES - DELITOS DE TRANSITO.txt;181;32;26;17;7;16;1;0;26;41,17647059;33,58823529;239,388;32;0;16;21,2109375;2;14,27193805;ATM;1;0;1;1;9;2;7;0;5;1;5
ATM - Tramites - TEXTO 0028 LEY DE TRANSITO.txt;384;68;50;38;10;37;2;0;25;26,31578947;25,65789474;257,2442353;34;0;17;22,16764706;9;14,27872015;ATM;3;1;5;1;20;2;13;1;10;2;10
ATM - Tramites - TEXTO 0029 INFRACCIONES - DELITOS DE TRANSITO.txt;197;33;29;17;7;19;1;1;29;41,17647059;35,08823529;266,1333636;33;1;17;23,18727273;2;14,17846338;ATM;2;0;1;1;9;2;6;0;7;0;5
ATM - Tramites - TEXTO 0029 LEY DE TRANSITO.txt;256;41;36;25;13;25;1;0;36;52;44;290,2860732;41;0;20,5;28,47878049;7;13,8221931;ATM;4;0;2;2;9;5;6;0;4;0;9
ATM - Tramites - TEXTO 0030 INFRACCIONES - DELITOS DE TRANSITO.txt;147;29;24;15;5;12;1;0;24;33,33333333;28,66666667;205,9575517;29;0;14,5;16,94482759;3;14,33333333;ATM;2;0;1;1;7;2;5;0;4;2;5
ATM - Tramites - TEXTO 0030 LEY DE TRANSITO.txt;322;55;40;28;8;27;2;0;20;28,57142857;24,28571429;229,1311364;27,5;0;13,75;19,89490909;6;14,35805909;ATM;1;1;7;1;12;2;14;1;8;2;6
ATM - Tramites - TEXTO 0031 INFRACCIONES - DELITOS DE TRANSITO.txt;164;27;24;15;6;15;1;0;24;40;32;249,7763333;27;0;13,5;20,67888889;4;16,20967451;ATM;3;0;1;1;8;2;5;0;3;0;4
ATM - Tramites - TEXTO 0031 LEY DE TRANSITO.txt;242;43;35;22;10;23;1;1;35;45,45454545;40,22727273;268,6614186;43;1;22;26,57744186;4;13,77319055;ATM;4;2;3;0;12;4;7;0;7;1;3
ATM - Tramites - TEXTO 0032 INFRACCIONES - DELITOS DE TRANSITO.txt;134;25;23;14;3;13;1;0;23;21,42857143;22,21428571;234,761;25;0;12,5;16,3156;1;13,73696424;ATM;2;1;1;1;6;3;3;0;3;1;4
ATM - Tramites - TEXTO 0032 LEY DE TRANSITO.txt;200;43;34;21;5;19;1;0;34;23,80952381;28,9047619;237,7963023;43;0;21,5;21,97697674;2;14,74065171;ATM;1;0;3;0;13;1;13;0;7;0;3
ATM - Tramites - TEXTO 0033 INFRACCIONES - DELITOS DE TRANSITO.txt;169;28;24;17;3;16;1;0;24;17,64705882;20,82352941;256,652;28;0;14;20,99821429;3;15,75536977;ATM;2;0;1;0;9;1;7;0;2;0;6
ATM - Tramites - TEXTO 0033 LEY DE TRANSITO.txt;283;55;44;27;6;24;1;1;44;22,22222222;33,11111111;255,2804545;55;1;28;30,30509091;3;13,4;ATM;1;0;8;6;9;5;13;1;6;2;4
ATM - Tramites - TEXTO 0034 INFRACCIONES - DELITOS DE TRANSITO.txt;186;30;27;16;9;20;1;0;27;56,25;41,625;291,47;30;0;15;22,772;1;14,2427694;ATM;3;0;1;1;9;2;3;0;6;1;4
ATM - Tramites - TEXTO 0034 LEY DE TRANSITO.txt;212;35;31;20;4;18;1;1;31;20;25,5;248,955;35;1;18;24,59914286;1;14,13603395;ATM;1;1;2;2;8;6;6;1;5;0;3
ATM - Tramites - TEXTO 0035 INFRACCIONES - DELITOS DE TRANSITO.txt;221;33;27;20;5;21;1;0;27;25;26;286,2424545;33;0;16,5;26,61272727;4;13,27865142;ATM;1;0;3;0;10;1;8;1;4;0;5
ATM - Tramites - TEXTO 0035 LEY DE TRANSITO.txt;395;62;49;37;11;33;1;0;49;29,72972973;39,36486486;298,3612258;62;0;31;39,57725806;8;13,97442374;ATM;4;0;11;2;11;1;13;1;6;0;13
ATM - Tramites - TEXTO 0036 INFRACCIONES - DELITOS DE TRANSITO.txt;203;32;28;18;10;22;1;0;28;55,55555556;41,77777778;301,6005;32;0;16;24,4490625;3;14,66390406;ATM;1;0;1;2;9;2;7;0;4;0;6
ATM - Tramites - TEXTO 0036 LEY DE TRANSITO.txt;281;44;39;27;10;27;1;0;39;37,03703704;38,01851852;296,4005455;44;0;22;30,64977273;4;14,65744552;ATM;4;0;16;2;5;1;7;0;4;0;5
ATM - Tramites - TEXTO 0037 INFRACCIONES - DELITOS DE TRANSITO.txt;221;33;27;20;8;19;1;0;27;40;33,5;266,1333636;33;0;16,5;26,61272727;3;14,7093167;ATM;4;0;4;2;7;2;6;0;1;0;7
ATM - Tramites - TEXTO 0037 LEY DE TRANSITO.txt;215;40;27;24;4;20;1;0;27;16,66666667;21,83333333;252,26;40;0;20;23,88625;4;16,03918919;ATM;3;0;19;0;3;0;9;1;4;0;1
ATM - Tramites - TEXTO 0038 LEY DE TRANSITO.txt;153;28;22;15;8;11;1;0;22;53,33333333;37,66666667;197,402;28;0;14;18,30678571;2;15,34923365;ATM;1;1;2;2;8;2;5;0;4;0;3
ATM - Tramites - TEXTO 0038 LEY DE TRANSITO_.txt;156;30;24;18;3;14;1;0;24;16,66666667;20,33333333;225,11;30;0;15;18,062;4;17,5631068;ATM;0;0;11;2;2;1;7;1;3;0;3
ATM - Tramites - TEXTO 0039 LEY DE TRANSITO.txt;166;28;25;14;5;16;1;0;25;35,71428571;30,35714286;256,652;28;0;14;20,49357143;2;13,16951288;ATM;0;0;2;2;6;2;6;0;5;1;4
ATM - Tramites - TEXTO 0039 LEY DE TRANSITO_.txt;174;28;24;17;3;15;1;0;24;17,64705882;20,82352941;244,802;28;0;14;21,83928571;4;13,66930586;ATM;1;0;4;0;9;0;7;0;3;0;4
ATM - Tramites - TEXTO 0040 LEY DE TRANSITO.txt;194;39;30;19;8;16;1;0;30;42,10526316;36,05263158;220,8740769;39;0;19,5;21,49923077;3;14,11273355;ATM;3;0;2;2;10;4;10;1;3;2;2
ATM - Tramites - TEXTO 0040 LEY DE TRANSITO_.txt;301;50;36;30;7;29;1;1;36;23,33333333;29,66666667;294,894;50;1;25,5;31,9242;7;14,98811638;ATM;5;0;12;1;10;4;9;0;5;0;4
ATM - Tramites - TEXTO 0041 LEY DE TRANSITO.txt;127;26;22;11;4;11;1;0;22;36,36363636;29,18181818;204,2109231;26;0;13;14,57653846;2;13,71456229;ATM;1;0;2;3;5;4;4;0;5;2;0
ATM - Tramites - TEXTO 0041 LEY DE TRANSITO_.txt;284;47;34;28;6;28;1;0;34;21,42857143;27,71428571;295,2910851;47;0;23,5;30,53042553;3;14,58519154;ATM;5;0;13;0;9;1;9;0;5;0;5
ATM - Tramites - TEXTO 0042 LEY DE TRANSITO.txt;149;28;26;14;3;13;1;1;26;21,42857143;23,71428571;221,102;28;1;14,5;17,63392857;1;14,66666667;ATM;2;0;2;0;6;1;6;1;5;1;4
ATM - Tramites - TEXTO 0042 LEY DE TRANSITO_.txt;261;49;38;25;5;27;1;0;38;20;29;283,6695714;49;0;24,5;28,15795918;4;13,40635268;ATM;1;0;5;3;11;4;11;0;9;0;5
ATM - Tramites - TEXTO 0043 LEY DE TRANSITO.txt;210;37;30;22;6;18;1;1;30;27,27272727;28,63636364;242,9492162;37;1;19;23,80243243;6;13,03654971;ATM;1;0;2;0;13;3;8;1;6;0;3
ATM - Tramites - TEXTO 0043 LEY DE TRANSITO_.txt;316;61;44;31;12;32;1;1;44;38,70967742;41,35483871;294,2080164;61;1;31;33,46934426;4;14,55765087;ATM;0;2;7;2;13;5;12;2;13;0;5
ATM - Tramites - TEXTO 0044 LEY DE TRANSITO.txt;133;27;22;15;5;12;2;1;11;33,33333333;22,16666667;191,1881667;13,5;0,5;7;8,521111111;3;13,64065708;ATM;1;0;3;1;6;1;6;2;4;0;3
ATM - Tramites - TEXTO 0044 LEY DE TRANSITO_.txt;290;45;36;27;4;27;2;2;18;14,81481481;16,40740741;257,2825;22,5;1;11,75;20,17333333;4;14,18199686;ATM;0;0;2;0;12;3;10;2;7;1;8
ATM - Tramites - TEXTO 0045 LEY DE TRANSITO.txt;200;37;28;19;6;17;1;1;28;31,57894737;29,78947368;233,9816486;37;1;19;22,52945946;2;14,27743635;ATM;2;1;7;0;5;3;5;2;7;3;2
ATM - Tramites - TEXTO 0045 LEY DE TRANSITO_.txt;304;54;41;31;6;27;1;1;41;19,35483871;30,17741935;274,786;54;1;27,5;32,08555556;5;14,12;ATM;2;0;11;2;11;3;13;3;6;0;3
ATM - Tramites - TEXTO 0046 LEY DE TRANSITO.txt;128;24;19;13;6;10;1;1;19;46,15384615;32,57692308;198,866;24;1;12,5;15,69;3;14,34748804;ATM;0;0;2;0;6;3;5;0;5;1;2
ATM - Tramites - TEXTO 0046 LEY DE TRANSITO_.txt;297;51;41;29;4;24;1;1;41;13,79310345;27,39655172;260,2001765;51;1;26;31,49882353;3;15,68181818;ATM;4;0;2;1;14;4;12;1;5;0;8
ATM - Tramites - TEXTO 0047 LEY DE TRANSITO.txt;163;30;24;17;2;17;1;1;24;11,76470588;17,88235294;258,29;30;1;15,5;19,161;1;14,96047251;ATM;0;0;5;2;5;2;7;2;5;0;2
ATM - Tramites - TEXTO 0047 LEY DE TRANSITO_.txt;346;67;48;35;10;30;1;1;48;28,57142857;38,28571429;278,3701642;67;1;34;36,39328358;6;13,58029466;ATM;4;1;8;1;14;6;15;1;11;0;6
ATM - Tramites - TEXTO 0048 LEY DE TRANSITO.txt;227;42;31;21;6;22;1;1;31;28,57142857;29,78571429;263,378;42;1;21,5;25,02642857;3;13,01581197;ATM;3;1;2;2;10;4;9;1;5;1;4
ATM - Tramites - TEXTO 0048 LEY DE TRANSITO_.txt;128;23;19;13;4;12;1;1;19;30,76923077;24,88461538;232,1200435;23;1;12;16,28217391;2;16,61504133;ATM;1;1;6;1;1;3;4;0;3;0;3
ATM - Tramites - TEXTO 0049 LEY DE TRANSITO.txt;159;29;26;16;3;15;1;1;26;18,75;22,375;240,2816897;29;1;15;18,8937931;1;14,54679738;ATM;1;0;3;1;8;2;6;1;5;0;2
ATM - Tramites - TEXTO 0049 LEY DE TRANSITO_.txt;241;44;37;23;5;19;1;1;37;21,73913043;29,36956522;236,0732727;44;1;22,5;26,36795455;3;14,513138;ATM;2;1;3;1;10;3;9;2;7;1;5
ATM - Tramites - TEXTO 0050 LEY DE TRANSITO.txt;148;30;23;14;3;14;1;0;23;21,42857143;22,21428571;225,11;30;0;15;16,806;3;13,96949959;ATM;0;0;4;4;6;2;8;0;4;0;2
ATM - Tramites - TEXTO 0050 LEY DE TRANSITO_.txt;269;50;32;26;8;26;1;0;32;30,76923077;31,38461538;274,986;50;0;25;28,9098;1;15,31877282;ATM;4;0;3;1;14;3;10;0;8;1;6
ATM - Tramites - TEXTO 0051 LEY DE TRANSITO.txt;158;31;24;15;4;15;1;0;24;26,66666667;25,33333333;232,4273871;31;0;15,5;18,07580645;3;14,90262172;ATM;0;0;2;4;7;2;8;0;4;0;4
ATM - Tramites - TEXTO 0051 LEY DE TRANSITO_.txt;221;44;30;21;6;17;1;0;30;28,57142857;29,28571429;220,9914545;44;0;22;24,22704545;2;14,06432749;ATM;2;0;5;1;10;1;12;0;7;1;5
ATM - Tramites - TEXTO 0052 LEY DE TRANSITO.txt;166;26;24;15;5;17;1;0;24;33,33333333;28,66666667;280,7801538;26;0;13;21,64153846;4;15,41627792;ATM;2;0;2;1;8;1;4;0;3;1;4
ATM - Tramites - TEXTO 0052 LEY DE TRANSITO_.txt;503;91;64;49;8;46;1;1;64;16,32653061;40,16326531;336,1420769;91;1;46;50,1043956;7;14,74749457;ATM;6;1;13;5;19;5;18;4;10;2;8
ATM - Tramites - TEXTO 0053 LEY DE TRANSITO.txt;161;32;21;16;2;11;1;0;21;12,5;16,75;187,54425;32;0;16;18,2671875;2;14,73112022;ATM;2;0;8;0;6;0;11;1;3;0;1
ATM - Tramites - TEXTO 0053 LEY DE TRANSITO_.txt;121;24;21;12;3;10;1;1;21;25;23;198,866;24;1;12,5;14,31625;1;15,27797834;ATM;1;0;3;3;4;2;3;2;5;0;1
ATM - Tramites - TEXTO 0054 LEY DE TRANSITO.txt;144;27;21;12;5;11;1;0;21;41,66666667;31,33333333;200,6207778;27;0;13,5;17,19;1;13,62578905;ATM;0;0;2;1;5;1;8;1;6;0;3
ATM - Tramites - TEXTO 0054 LEY DE TRANSITO_.txt;293;57;45;33;4;28;1;1;45;12,12121212;28,56060606;276,7024737;57;1;29;31,28105263;2;13,98182657;ATM;5;0;8;2;11;5;11;1;7;0;7
ATM - Tramites - TEXTO 0055 LEY DE TRANSITO.txt;129;25;23;14;3;11;1;1;23;21,42857143;22,21428571;208,217;25;1;13;15,3736;2;14,91686275;ATM;1;0;2;1;5;3;6;1;2;1;3
ATM - Tramites - TEXTO 0055 LEY DE TRANSITO_.txt;249;44;29;26;3;20;1;1;29;11,53846154;20,26923077;243,6141818;44;1;22,5;27,22431818;3;15,22020149;ATM;3;0;18;1;3;1;8;1;5;1;3
ATM - Tramites - TEXTO 0056 LEY DE TRANSITO.txt;207;35;32;19;8;19;1;1;32;42,10526316;37,05263158;258,435;35;1;18;23,92628571;4;14,17073171;ATM;2;1;3;4;6;3;5;2;3;1;5
ATM - Tramites - TEXTO 0056 LEY DE TRANSITO_.txt;351;63;35;34;5;31;1;1;35;14,70588235;24,85294118;286,6336667;63;1;32;36,31142857;3;15,2721107;ATM;7;1;21;0;9;2;14;0;6;1;2
ATM - Tramites - TEXTO 0057 LEY DE TRANSITO.txt;191;29;23;17;7;15;1;0;23;41,17647059;32,08823529;240,2816897;29;0;14,5;24,09103448;1;15,26317614;ATM;3;0;2;1;8;1;7;0;1;0;6
ATM - Tramites - TEXTO 0057 LEY DE TRANSITO_.txt;311;51;41;27;9;27;2;0;20,5;33,33333333;26,91666667;238,6883235;25,5;0;12,75;20,04176471;4;14,19438596;ATM;3;1;11;4;8;5;8;0;5;2;4
ATM - Tramites - TEXTO 0058 LEY DE TRANSITO.txt;196;35;28;18;3;17;2;1;14;16,66666667;15,33333333;211,3175;17,5;0,5;9;13,696;6;14,05646549;ATM;3;1;8;0;5;1;7;2;4;1;3
ATM - Tramites - TEXTO 0058 LEY DE TRANSITO_.txt;273;43;36;27;8;28;1;1;36;29,62962963;32,81481481;307,242814;43;1;22;29,97302326;4;16,05253709;ATM;3;1;12;2;5;5;5;2;6;0;2
ATM - Tramites - TEXTO 0059 LEY DE TRANSITO.txt;169;30;29;18;5;16;1;1;29;27,77777778;28,38888889;247,23;30;1;15,5;20,103;2;14,84009814;ATM;1;0;2;1;8;4;5;1;3;1;4
ATM - Tramites - TEXTO 0059 LEY DE TRANSITO_.txt;292;54;40;29;7;32;1;0;40;24,13793103;32,06896552;305,5082222;54;0;27;31,03888889;5;14,66045666;ATM;4;0;17;1;8;2;12;0;8;0;2
